Date,Observed Low (F),Observed High (F),Observed Precipitation (in),Observed Snow Fall (in)
1/1/2021,17,32,0,0
1/2/2021,23,39,0,0
1/3/2021,24,36,0.02,0.2
1/4/2021,26,45,0,0
1/5/2021,27,43,0.05,0
1/6/2021,24,43,0,0
1/7/2021,21,43,0,0
1/8/2021,22,43,0,0
1/9/2021,24,38,0,0
1/10/2021,20,37,0,0
1/11/2021,18,36,0,0
1/12/2021,18,39,0,0
1/13/2021,27,52,0,0
1/14/2021,23,43,0,0
1/15/2021,23,47,T,T
1/16/2021,28,45,0.01,T
1/17/2021,24,47,0,0
1/18/2021,26,40,T,T
1/19/2021,22,44,0,0
1/20/2021,21,42,0,0
1/21/2021,21,43,0,0
1/22/2021,26,50,0.01,0
1/23/2021,29,40,0.31,1.2
1/24/2021,26,30,0.06,0.8
1/25/2021,20,33,0.01,0.2
1/26/2021,21,31,T,T
1/27/2021,28,37,0,0
1/28/2021,36,49,T,0
1/29/2021,32,52,0.35,T
1/30/2021,32,43,0.03,T
1/31/2021,27,47,0,0
2/1/2021,26,47,0,0
2/2/2021,28,50,0,0
2/3/2021,30,51,0.16,0.4
2/4/2021,31,38,T,T
2/5/2021,32,36,0.1,1
2/6/2021,28,49,0,0
2/7/2021,30,55,0,0
2/8/2021,31,53,0,0
2/9/2021,34,48,0,0
2/10/2021,39,53,0.01,0
2/11/2021,35,53,T,0
2/12/2021,41,49,0.16,0
2/13/2021,28,42,0.45,1
2/14/2021,24,36,0.03,0
2/15/2021,31,36,0.04,T
2/16/2021,29,38,0.26,1.6
2/17/2021,19,35,0.45,11.7
2/18/2021,20,36,T,T
2/19/2021,29,44,T,T
2/20/2021,32,44,0.02,T
2/21/2021,30,41,0,0
2/22/2021,32,49,0,0
2/23/2021,30,47,0,0
2/24/2021,24,39,0.04,0.7
2/25/2021,22,39,0,0
2/26/2021,29,44,0.01,0.2
2/27/2021,26,35,0.02,0.2
2/28/2021,24,37,T,T
3/1/2021,24,47,0,0
3/2/2021,26,56,0,0
3/3/2021,32,63,0,0
3/4/2021,41,57,0,0
3/5/2021,34,62,0,0
3/6/2021,41,70,0,0
3/7/2021,34,60,0,0
3/8/2021,44,70,0,0
3/9/2021,36,47,T,T
3/10/2021,34,49,T,T
3/11/2021,31,46,T,T
3/12/2021,25,52,0,0
3/13/2021,36,45,0.01,0
3/14/2021,36,57,0,0
3/15/2021,41,62,T,0
3/16/2021,42,57,0.03,0
3/17/2021,38,57,T,0
3/18/2021,45,65,0,0
3/19/2021,46,71,0,0
3/20/2021,38,61,0.85,0
3/21/2021,29,43,0.25,M
3/22/2021,29,45,0.02,0
3/23/2021,30,47,0.01,0
3/24/2021,31,48,0,0
3/25/2021,32,48,0.33,1.2
3/26/2021,33,48,0.05,0
3/27/2021,32,54,0,0
3/28/2021,39,67,0,0
3/29/2021,29,57,0,0
3/30/2021,26,43,0,0
3/31/2021,M,M,M,M
4/1/2021,33,66,0,0
4/2/2021,39,75,0,0
4/3/2021,46,79,0,0
4/4/2021,52,79,0,0
4/5/2021,41,74,0.05,0
4/6/2021,34,50,0.09,T
4/7/2021,36,64,0,0
4/8/2021,43,65,0,0
4/9/2021,34,57,0,0
4/10/2021,39,69,0,0
4/11/2021,39,54,0,0
4/12/2021,32,55,0,0
4/13/2021,36,57,T,0
4/14/2021,38,50,0.31,0
4/15/2021,34,47,0.28,0
4/16/2021,36,52,0.26,0
4/17/2021,39,57,0,0
4/18/2021,37,64,0,0
4/19/2021,40,66,T,0
4/20/2021,33,59,0,0
4/21/2021,44,58,0,0
4/22/2021,37,64,0,0
4/23/2021,47,65,T,0
4/24/2021,49,69,0,0
4/25/2021,49,62,0,0
4/26/2021,39,49,0.8,0
4/27/2021,37,56,0,0
4/28/2021,40,64,0,0
4/29/2021,43,73,0,0
4/30/2021,50,84,0,0
5/1/2021,59,82,0,0
5/2/2021,50,65,0,0
5/3/2021,49,65,0,0
5/4/2021,47,69,0,0
5/5/2021,48,72,0,0
5/6/2021,49,87,0,0
5/7/2021,56,86,0.01,0
5/8/2021,46,59,T,0
5/9/2021,41,61,0,0
5/10/2021,44,61,0.07,0
5/11/2021,41,64,0,0
5/12/2021,45,75,0,0
5/13/2021,52,84,0,0
5/14/2021,59,85,0,0
5/15/2021,60,82,0,0
5/16/2021,54,78,T,0
5/17/2021,50,74,T,0
5/18/2021,57,82,0,0
5/19/2021,58,85,T,0
5/20/2021,54,74,0,0
5/21/2021,49,66,0.06,0
5/22/2021,43,69,0,0
5/23/2021,43,62,0.51,M
5/24/2021,45,69,T,0
5/25/2021,50,77,0,0
5/26/2021,52,72,0,0
5/27/2021,49,82,0,0
5/28/2021,58,83,0,0
5/29/2021,56,79,0,0
5/30/2021,55,81,0,0
5/31/2021,56,85,0,0
6/1/2021,59,88,0,0
6/2/2021,62,91,0,0
6/3/2021,65,97,0,0
6/4/2021,68,100,0,0
6/5/2021,69,97,T,0
6/6/2021,66,92,0,0
6/7/2021,64,94,0,0
6/8/2021,73,90,0,0
6/9/2021,71,91,0,0
6/10/2021,52,79,0,0
6/11/2021,46,79,0,0
6/12/2021,55,91,0,0
6/13/2021,61,102,0,0
6/14/2021,71,103,0,0
6/15/2021,75,107,0,0
6/16/2021,71,97,0,0
6/17/2021,69,96,0,0
6/18/2021,68,101,0,0
6/19/2021,78,100,T,0
6/20/2021,70,96,0,0
6/21/2021,64,95,0,0
6/22/2021,72,100,0,0
6/23/2021,75,95,0,0
6/24/2021,64,82,0.1,0
6/25/2021,64,87,T,0
6/26/2021,63,89,0,0
6/27/2021,70,91,0,0
6/28/2021,71,93,0,0
6/29/2021,73,95,T,0
6/30/2021,72,90,0,0
7/1/2021,69,94,0,0
7/2/2021,75,96,0,0
7/3/2021,73,100,0,0
7/4/2021,72,100,0.01,0
7/5/2021,73,97,T,0
7/6/2021,69,99,0,0
7/7/2021,76,104,0,0
7/8/2021,75,103,0,0
7/9/2021,74,101,0,0
7/10/2021,67,97,0,0
7/11/2021,72,104,0,0
7/12/2021,73,103,0,0
7/13/2021,82,104,T,0
7/14/2021,78,96,0,0
7/15/2021,75,98,T,0
7/16/2021,74,99,T,0
7/17/2021,73,100,0,0
7/18/2021,75,104,T,0
7/19/2021,78,97,T,0
7/20/2021,76,96,0,0
7/21/2021,74,99,0.06,0
7/22/2021,71,99,0.33,0
7/23/2021,72,95,0,0
7/24/2021,67,98,0,0
7/25/2021,71,97,0,0
7/26/2021,71,101,0,0
7/27/2021,77,94,0,0
7/28/2021,74,96,T,0
7/29/2021,70,93,0.01,0
7/30/2021,67,89,0.11,0
7/31/2021,72,96,T,0
8/1/2021,67,90,0.18,0
8/2/2021,65,82,0.35,0
8/3/2021,63,88,0,0
8/4/2021,66,94,0,0
8/5/2021,71,101,0,0
8/6/2021,66,90,0,0
8/7/2021,62,87,0,0
8/8/2021,67,97,0,0
8/9/2021,67,87,0,0
8/10/2021,63,90,0,0
8/11/2021,63,93,0,0
8/12/2021,66,97,0,0
8/13/2021,71,101,0,0
8/14/2021,71,100,0,0
8/15/2021,72,94,0,0
8/16/2021,67,98,0,0
8/17/2021,71,97,0.1,0
8/18/2021,53,76,0.81,0
8/19/2021,50,64,0.34,0
8/20/2021,54,77,0,0
8/21/2021,57,87,0.51,0
8/22/2021,57,82,0,0
8/23/2021,67,92,0,0
8/24/2021,69,91,0,0
8/25/2021,67,94,T,0
8/26/2021,65,88,0,0
8/27/2021,60,86,0,0
8/28/2021,59,83,0,0
8/29/2021,59,87,0,0
8/30/2021,63,91,0,0
8/31/2021,64,93,T,0
9/1/2021,70,85,0,0
9/2/2021,67,87,T,0
9/3/2021,62,82,0,0
9/4/2021,55,88,0,0
9/5/2021,60,91,0,0
9/6/2021,62,93,0,0
9/7/2021,61,93,0,0
9/8/2021,59,93,0,0
9/9/2021,63,97,0,0
9/10/2021,68,94,0.02,0
9/11/2021,62,80,0.09,0
9/12/2021,61,88,T,0
9/13/2021,62,85,0,0
9/14/2021,59,84,0,0
9/15/2021,59,89,0,0
9/16/2021,61,85,0,0
9/17/2021,57,88,0,0
9/18/2021,63,78,0.03,0
9/19/2021,50,80,0,0
9/20/2021,46,65,0,0
9/21/2021,44,73,0,0
9/22/2021,49,80,0,0
9/23/2021,53,79,0,0
9/24/2021,54,80,0,0
9/25/2021,56,87,0,0
9/26/2021,58,87,0,0
9/27/2021,59,88,0,0
9/28/2021,50,74,0.03,0
9/29/2021,43,61,0,0
9/30/2021,42,68,0,0
10/1/2021,47,72,0,0
10/2/2021,51,75,0,0
10/3/2021,49,79,0,0
10/4/2021,53,82,0,0
10/5/2021,61,81,0.01,0
10/6/2021,56,71,0.15,0
10/7/2021,54,71,T,0
10/8/2021,49,63,0.55,0
10/9/2021,46,51,0.06,0
10/10/2021,47,59,0,0
10/11/2021,41,62,0.19,0
10/12/2021,34,45,0.03,0
10/13/2021,34,49,0,0
10/14/2021,34,44,0.23,T
10/15/2021,33,56,0,0
10/16/2021,34,61,0,0
10/17/2021,39,72,0,0
10/18/2021,44,63,0.18,0
10/19/2021,38,46,0.66,0
10/20/2021,37,61,0,0
10/21/2021,42,68,0,0
10/22/2021,44,71,0,0
10/23/2021,41,62,0.18,0
10/24/2021,40,63,0.01,0
10/25/2021,41,68,0.91,0
10/26/2021,38,50,0.33,0
10/27/2021,41,58,T,0
10/28/2021,45,63,0,0
10/29/2021,41,65,0,0
10/30/2021,42,64,0,0
10/31/2021,39,66,T,0
11/1/2021,46,63,0,0
11/2/2021,44,58,0.06,0
11/3/2021,40,58,0,0
11/4/2021,39,67,0,0
11/5/2021,41,66,0,0
11/6/2021,48,67,0,0
11/7/2021,42,54,0,0
11/8/2021,38,50,0,0
11/9/2021,37,50,0.25,0
11/10/2021,39,52,T,0
11/11/2021,39,51,T,0
11/12/2021,46,62,0,0
11/13/2021,42,63,0,0
11/14/2021,43,66,0,0
11/15/2021,42,66,0,0
11/16/2021,33,61,T,0
11/17/2021,28,42,0,0
11/18/2021,28,45,0,0
11/19/2021,36,48,0.03,0
11/20/2021,34,48,T,0
11/21/2021,28,47,0,0
11/22/2021,30,48,0,0
11/23/2021,28,50,0,0
11/24/2021,30,42,0,0
11/25/2021,26,46,0,0
11/26/2021,27,46,0,0
11/27/2021,27,50,0,0
11/28/2021,30,54,0,0
11/29/2021,31,55,0,0
11/30/2021,30,50,0,0
12/1/2021,30,55,0,0
12/2/2021,30,57,0,0
12/3/2021,30,52,0,0
12/4/2021,30,56,0,0
12/5/2021,32,55,0,0
12/6/2021,29,43,0,0
12/7/2021,33,52,0,0
12/8/2021,32,52,T,0
12/9/2021,28,46,0.53,1.4
12/10/2021,25,32,0.04,0.8
12/11/2021,22,32,0,0
12/12/2021,32,49,0,0
12/13/2021,39,50,0,0
12/14/2021,32,56,0.44,4.5
12/15/2021,21,33,0.08,4.2
12/16/2021,28,34,T,0.1
12/17/2021,25,37,T,T
12/18/2021,20,36,0,0
12/19/2021,18,34,0,0
12/20/2021,22,39,0,0
12/21/2021,22,38,0,0
12/22/2021,14,32,0,0
12/23/2021,28,50,0.11,0
12/24/2021,35,46,0.02,T
12/25/2021,35,49,0,0
12/26/2021,29,43,0.13,1.5
12/27/2021,22,39,0.13,3
12/28/2021,19,26,0.02,0.4
12/29/2021,16,34,0,0
12/30/2021,31,43,0.14,2
12/31/2021,14,33,0.2,3.6
